Airline,Name,Country,0,1,2,Number Countries,Favorite Airport ID,Favorite Airport Name,Favorite Airport City,Favorite Airport Country
2B,Aerocondor,Portugal,34.0,6.0,0.0,2,2990.0,Kazan,Kazan,Russia
2G,Cargoitalia,Italy,16.0,3.0,0.0,1,2937.0,Irkutsk,Irkutsk,Russia
2I,Star Peru (2I),Peru,18.0,0.0,0.0,1,2789.0,Jorge Chavez Intl,Lima,Peru
2J,Air Burkina,Burkina Faso,20.0,2.0,0.0,8,246.0,Ouagadougou,Ouagadougou,Burkina Faso
2K,Aerolineas Galapagos (Aerogal),Ecuador,12.0,0.0,0.0,2,2673.0,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador
2L,Helvetic Airways,Switzerland,6.0,4.0,4.0,7,1678.0,Zurich,Zurich,Switzerland
2N,NextJet,Sweden,41.0,0.0,0.0,3,737.0,Arlanda,Stockholm,Sweden
2O,Air Salone,Sierra Leone,10.0,0.0,0.0,1,3531.0,Kodiak,Kodiak,United States
2P,Air Philippines,Philippines,32.0,0.0,2.0,2,2397.0,Ninoy Aquino Intl,Manila,Philippines
2Z,Changan Airlines,China,46.0,0.0,0.0,1,2613.0,Leite Lopes,Ribeirao Preto,Brazil
3E,Air Choice One,United States,10.0,0.0,0.0,1,3678.0,Lambert St Louis Intl,St. Louis,United States
3F,Fly Colombia ( Interliging Flights ),Colombia,12.0,0.0,0.0,1,3808.0,Ketchikan Intl,Ketchikan,United States
3G,Atlant-Soyuz Airlines,Russia,18.0,6.0,6.0,11,1084.0,Leopold Sedar Senghor Intl,Dakar,Senegal
3J,Zip,Canada,4.0,1.0,0.0,5,4119.0,Ambouli International Airport,Djibouti,Djibouti
3K,Jetstar Asia Airways,Singapore,14.0,14.0,8.0,12,3316.0,Changi Intl,Singapore,Singapore
3L,Intersky,Austria,26.0,0.0,0.0,5,382.0,Friedrichshafen,Friedrichshafen,Germany
3O,Air Arabia Maroc,Morocco,14.0,28.0,2.0,9,1074.0,Mohammed V Intl,Casablanca,Morocco
3P,Tiara Air,Aruba,6.0,0.0,0.0,3,2895.0,Reina Beatrix Intl,Oranjestad,Aruba
3R,Moskovia Airlines,Russia,4.0,16.0,0.0,3,4029.0,Domododevo,Moscow,Russia
3S,Air Antilles Express,Guadeloupe,24.0,0.0,0.0,9,2881.0,Le Raizet,Pointe-a-pitre,Guadeloupe
3U,Sichuan Airlines,China,286.0,96.0,10.0,9,3395.0,Shuangliu,Chengdu,China
4D,Air Sinai,Egypt,2.0,0.0,0.0,2,1128.0,Cairo Intl,Cairo,Egypt
4G,Gazpromavia,Russia,8.0,12.0,0.0,2,2988.0,Vnukovo,Moscow,Russia
4H,United Airways,Bangladesh,20.0,4.0,8.0,8,3076.0,Zia Intl,Dhaka,Bangladesh
4K,Askari Aviation,Pakistan,2.0,0.0,0.0,1,128.0,Resolute Bay,Resolute,Canada
4M,LAN Argentina,Argentina,2.0,0.0,8.0,3,3988.0,Ministro Pistarini,Buenos Aires,Argentina
4N,Air North Charter - Canada,Canada,7.0,4.0,2.0,1,176.0,Whitehorse Intl,Whitehorse,Canada
4O,Interjet (ABC Aerolineas),Mexico,86.0,22.0,4.0,6,1824.0,Licenciado Benito Juarez Intl,Mexico City,Mexico
4Q,Safi Airlines,Afghanistan,10.0,4.0,0.0,4,2050.0,Kabul Intl,Kabul,Afghanistan
4T,Belair Airlines,Switzerland,4.0,2.0,6.0,5,1678.0,Zurich,Zurich,Switzerland
4U,Germanwings,Germany,366.0,100.0,4.0,26,344.0,Koln Bonn,Cologne,Germany
4Y,Airbus France,France,29.0,0.0,2.0,1,3599.0,Bethel,Bethel,United States
5C,CAL Cargo Air Lines,Israel,29.0,0.0,0.0,3,1885.0,Juan Santamaria Intl,San Jose,Costa Rica
5G,Skyservice Airlines,Canada,2.0,0.0,0.0,1,248.0,Kotoka Intl,Accra,Ghana
5H,Fly540,Kenya,18.0,0.0,0.0,3,4059.0,Jomo Kenyatta International,Nairobi,Kenya
5J,Cebu Pacific,Philippines,132.0,44.0,6.0,15,2397.0,Ninoy Aquino Intl,Manila,Philippines
5M,Sibaviatrans,Russia,2.0,0.0,0.0,2,2874.0,V C Bird Intl,Antigua,Antigua and Barbuda
5N,Aeroflot-Nord,Russia,22.0,0.0,0.0,2,4362.0,Talagi,Arkhangelsk,Russia
5P,Pal airlines,Chile,4.0,0.0,0.0,1,2650.0,Arturo Merino Benitez Intl,Santiago,Chile
5Q,BQB Lineas Aereas,Uruguay,14.0,4.0,0.0,5,2816.0,Carrasco Intl,Montevideo,Uruguay
5T,Canadian North,Canada,63.0,2.0,0.0,1,132.0,Rankin Inlet,Rankin Inlet,Canada
5Z,VivaColombia,Colombia,4.0,0.0,0.0,1,813.0,Johannesburg Intl,Johannesburg,South Africa
6E,IndiGo Airlines,India,179.0,48.0,0.0,6,3093.0,Indira Gandhi Intl,Delhi,India
6H,Israir,Israel,6.0,6.0,0.0,5,1590.0,Ben Gurion,Tel-aviv,Israel
6I,Fly 6ix,Sierra Leone,2.0,0.0,0.0,1,609.0,Kastrup,Copenhagen,Denmark
6R,Alrosa Mirny Air Enterprise,Russia,18.0,4.0,8.0,1,2925.0,Mirny,Mirnyj,Russia
6T,Air Mandalay,Burma,22.0,0.0,0.0,1,3239.0,Yangon Intl,Yangon,Burma
6W,Saratov Aviation Division,Russia,8.0,2.0,0.0,3,4363.0,Central,Saratov,Russia
6Y,SmartLynx Airlines,Latvia,0.0,0.0,2.0,2,1056.0,Tenerife Sur,Tenerife,Spain
7C,Jeju Air,Republic of Korea,20.0,5.0,8.0,7,3930.0,Incheon Intl,Seoul,South Korea
7E,Aeroline GmbH,Germany,2.0,0.0,0.0,1,342.0,Hamburg,Hamburg,Germany
7F,First Air,Canada,72.0,2.0,0.0,1,55.0,Iqaluit,Iqaluit,Canada
7G,Star Flyer,Japan,6.0,0.0,0.0,1,2359.0,Tokyo Intl,Tokyo,Japan
7H,Era Alaska,United States,218.0,0.0,2.0,1,3599.0,Bethel,Bethel,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,37.0,8.0,0.0,10,2897.0,Hato,Willemstad,Netherlands Antilles
7J,Tajik Air,Tajikistan,6.0,22.0,6.0,9,2979.0,Dushanbe,Dushanbe,Tajikistan
7M,Mongolian International Air Lines ,Mongolia,8.0,0.0,0.0,1,1819.0,Licenciado Manuel Crescencio Rejon Int,Merida,Mexico
7P,Metro Batavia,Indonesia,22.0,0.0,2.0,3,1869.0,Marcos A Gelabert Intl,Panama,Panama
7R,BRA-Transportes Aereos,Brazil,64.0,8.0,0.0,4,4029.0,Domododevo,Moscow,Russia
8B,BusinessAir,Thailand,2.0,4.0,6.0,3,3179.0,Phuket Intl,Phuket,Thailand
8D,Astair,Russian Federation,8.0,0.0,0.0,1,3531.0,Kodiak,Kodiak,United States
8E,Bering Air,United States,74.0,0.0,0.0,1,3615.0,Nome,Nome,United States
8I,Myway Airlines,Italy,4.0,2.0,0.0,3,2895.0,Reina Beatrix Intl,Oranjestad,Aruba
8L,Cargo Plus Aviation,United Arab Emirates,98.0,32.0,0.0,2,3382.0,Wujiaba,Kunming,China
8M,Maxair,Sweden,4.0,6.0,2.0,7,3239.0,Yangon Intl,Yangon,Burma
8P,Pacific Coastal Airline,Canada,30.0,0.0,0.0,1,156.0,Vancouver Intl,Vancouver,Canada
8Q,Onur Air,Turkey,30.0,6.0,0.0,5,1701.0,Ataturk,Istanbul,Turkey
8R,TRIP Linhas A,Brazil,35.0,0.0,0.0,2,2442.0,Aeroparque Jorge Newbery,Buenos Aires,Argentina
8T,Air Tindi,Canadian Territories,8.0,0.0,0.0,1,196.0,Yellowknife,Yellowknife,Canada
8U,Afriqiyah Airways,Libya,25.0,18.0,1.0,9,1157.0,Tripoli Intl,Tripoli,Libya
8V,Astral Aviation,Kenya,37.0,0.0,0.0,1,3832.0,Fairbanks Intl,Fairbanks,United States
9C,China SSS,China,95.0,50.0,6.0,10,3406.0,Pudong,Shanghai,China
9E,Pinnacle Airlines,United States,36.0,6.0,0.0,1,3682.0,Hartsfield Jackson Atlanta Intl,Atlanta,United States
9K,Cape Air,United States,86.0,0.0,0.0,6,3448.0,General Edward Lawrence Logan Intl,Boston,United States
9Q,PB Air,Thailand,4.0,0.0,0.0,1,5807.0,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands
9R,SATENA,Colombia,76.0,0.0,0.0,1,2709.0,Eldorado Intl,Bogota,Colombia
9U,Air Moldova,Moldova,24.0,10.0,4.0,13,1735.0,Chisinau Intl,Chisinau,Moldova
9W,Jet Airways,India,182.0,68.0,42.0,21,2997.0,Chhatrapati Shivaji Intl,Mumbai,India
A2,Cielos Airlines,Peru,10.0,0.0,0.0,1,1486.0,Makedonia,Thessaloniki,Greece
A3,Aegean Airlines,Greece,121.0,97.0,4.0,29,3941.0,Eleftherios Venizelos Intl,Athens,Greece
A4,Southern Winds Airlines,Argentina,20.0,0.0,0.0,1,2769.0,Tte Av Jorge Henrich Arauz,Trinidad,Bolivia
A5,Airlinair,France,150.0,0.0,0.0,8,1335.0,Saint Exupery,Lyon,France
A8,Benin Golf Air,Benin,2.0,0.0,0.0,1,1187.0,Entebbe Intl,Entebbe,Uganda
A9,Georgian Airways,Georgia,5.0,9.0,4.0,7,3973.0,Tbilisi,Tbilisi,Georgia
AA,American Airlines,United States,1276.0,545.0,530.0,96,3670.0,Dallas Fort Worth Intl,Dallas-Fort Worth,United States
AB,Air Berlin,Germany,408.0,245.0,145.0,42,345.0,Dusseldorf,Duesseldorf,Germany
ABJ,Abaet,Brazil,3.0,0.0,0.0,1,2582.0,Bom Jesus Da Lapa,Bom Jesus Da Lapa,Brazil
AC,Air Canada,Canada,353.0,155.0,197.0,68,193.0,Lester B Pearson Intl,Toronto,Canada
AD,Azul,Brazil,355.0,36.0,2.0,2,2578.0,Viracopos,Campinas,Brazil
AE,Mandarin Airlines,Taiwan,46.0,10.0,0.0,6,2268.0,Ching Chuang Kang,Taichung,Taiwan
AF,Air France,France,697.0,109.0,265.0,126,1382.0,Charles De Gaulle,Paris,France
AH,Air Algerie,Algeria,177.0,37.0,14.0,26,210.0,Houari Boumediene,Algier,Algeria
AI,Air India Limited,India,235.0,63.0,95.0,31,3093.0,Indira Gandhi Intl,Delhi,India
AK,AirAsia,Malaysia,104.0,76.0,0.0,15,3304.0,Kuala Lumpur Intl,Kuala Lumpur,Malaysia
AM,AeroMéxico,Mexico,266.0,118.0,47.0,27,1824.0,Licenciado Benito Juarez Intl,Mexico City,Mexico
AP,Air One,Italy,64.0,24.0,0.0,11,1509.0,Catania Fontanarossa,Catania,Italy
AR,Aerolineas Argentinas,Argentina,111.0,25.0,18.0,13,2442.0,Aeroparque Jorge Newbery,Buenos Aires,Argentina
AS,Alaska Airlines,ALASKA,298.0,118.0,114.0,3,3577.0,Seattle Tacoma Intl,Seattle,United States
AT,Royal Air Maroc,Morocco,76.0,116.0,46.0,49,1074.0,Mohammed V Intl,Casablanca,Morocco
AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA,148.0,68.0,70.0,26,2709.0,Eldorado Intl,Bogota,Colombia
AW,Asian Wings Airways,Burma,6.0,0.0,0.0,2,248.0,Kotoka Intl,Accra,Ghana
AY,Finnair,Finland,131.0,58.0,139.0,41,421.0,Helsinki Vantaa,Helsinki,Finland
AZ,Alitalia,Italy,571.0,135.0,171.0,88,1555.0,Fiumicino,Rome,Italy
B2,Belavia Belarusian Airlines,Belarus,40.0,40.0,2.0,30,2954.0,Minsk 2,Minsk 2,Belarus
B5,Flightline,United Kingdom,26.0,0.0,0.0,3,1147.0,Nairobi Wilson,Nairobi,Kenya
B6,JetBlue Airways,United States,112.0,197.0,90.0,22,3797.0,John F Kennedy Intl,New York,United States
B7,Uni Air,Taiwan,34.0,16.0,0.0,3,2276.0,Taoyuan Intl,Taipei,Taiwan
B9,Air Bangladesh,Bangladesh,46.0,0.0,0.0,1,4331.0,Mashhad,Mashhad,Iran
BA,British Airways,United Kingdom,263.0,70.0,214.0,92,507.0,Heathrow,London,United Kingdom
BB,Seaborne Airlines,United States,32.0,0.0,2.0,10,2890.0,Luis Munoz Marin Intl,San Juan,Puerto Rico
BC,Skymark Airlines,Japan,54.0,4.0,0.0,1,2287.0,New Chitose,Sapporo,Japan
BE,Flybe,United Kingdom,256.0,12.0,0.0,15,469.0,Birmingham,Birmingham,United Kingdom
BF,Aero-Service,Republic of the Congo,4.0,0.0,0.0,1,6270.0,Groote Eylandt Airport,Groote Eylandt,Australia
BG,Biman Bangladesh Airlines,Bangladesh,15.0,8.0,23.0,16,3076.0,Zia Intl,Dhaka,Bangladesh
BH,Hawkair,Canada,8.0,0.0,0.0,1,156.0,Vancouver Intl,Vancouver,Canada
BI,Royal Brunei Airlines,Brunei,14.0,8.0,8.0,12,3272.0,Brunei Intl,Bandar Seri Begawan,Brunei
BJ,Nouvel Air Tunisie,Tunisia,15.0,21.0,0.0,5,293.0,Zarzis,Djerba,Tunisia
BK,Potomac Air,United States,84.0,22.0,0.0,2,3368.0,Binhai,Tianjin,China
BL,Jetstar Pacific,Vietnam,18.0,0.0,0.0,1,3205.0,Tansonnhat Intl,Ho Chi Minh City,Vietnam
BM,Air Sicilia,Italy,34.0,0.0,0.0,8,532.0,Dyce,Aberdeen,United Kingdom
BP,Air Botswana,Botswana,22.0,2.0,0.0,4,881.0,Sir Seretse Khama Intl,Gaberone,Botswana
BR,EVA Air,Taiwan,40.0,46.0,32.0,21,2276.0,Taoyuan Intl,Taipei,Taiwan
BT,Air Baltic,Latvia,70.0,32.0,10.0,32,3953.0,Riga Intl,Riga,Latvia
BU,Baikotovitchestrian Airlines ,American Samoa,29.0,4.0,0.0,2,1020.0,Ndjili Intl,Kinshasa,Congo (Kinshasa)
BV,Blue Panorama Airlines,Italy,34.0,2.0,13.0,6,1555.0,Fiumicino,Rome,Italy
BW,Caribbean Airlines,Trinidad and Tobago,30.0,18.0,16.0,14,2902.0,Piarco,Port-of-spain,Trinidad and Tobago
BX,Air Busan,Republic of Korea,14.0,12.0,2.0,8,2372.0,Gimhae Intl,Busan,South Korea
C8,Chicago Express,United States,8.0,0.0,0.0,3,891.0,Malabo,Malabo,Equatorial Guinea
CA,Air China,China,845.0,276.0,135.0,43,3364.0,Capital Intl,Beijing,China
CC,Air Atlanta Icelandic,Iceland,13.0,0.0,0.0,2,1776.0,Toncontin Intl,Tegucigalpa,Honduras
CE,Nationwide Airlines,South Africa,10.0,0.0,0.0,1,1264.0,Merignac,Bordeaux,France
CG,Airlines PNG,Papua New Guinea,79.0,2.0,0.0,2,5.0,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea
CI,China Airlines,Taiwan,61.0,63.0,48.0,27,2276.0,Taoyuan Intl,Taipei,Taiwan
CM,Copa Airlines,Panama,100.0,41.0,43.0,28,1871.0,Tocumen Intl,Panama City,Panama
CN,Canadian National Airways,Canada,8.0,2.0,0.0,1,3364.0,Capital Intl,Beijing,China
CU,Cubana de Aviación,Cuba,21.0,26.0,12.0,14,1909.0,Jose Marti Intl,Havana,Cuba
CX,Cathay Pacific,Hong Kong SAR of China,70.0,56.0,87.0,36,3077.0,Hong Kong Intl,Hong Kong,Hong Kong
CY,Cyprus Airways,Cyprus,15.0,14.0,2.0,13,1197.0,Larnaca,Larnaca,Cyprus
CZ,China Southern Airlines,China,1028.0,310.0,92.0,39,3370.0,Baiyun Intl,Guangzhou,China
D3,Daallo Airlines,Djibouti,4.0,2.0,0.0,3,4119.0,Ambouli International Airport,Djibouti,Djibouti
D6,Interair South Africa,South Africa,2.0,0.0,0.0,2,813.0,Johannesburg Intl,Johannesburg,South Africa
D7,AirAsia X,Malaysia,0.0,2.0,34.0,9,3304.0,Kuala Lumpur Intl,Kuala Lumpur,Malaysia
DC,Golden Air,Sweden,20.0,0.0,0.0,1,738.0,Bromma,Stockholm,Sweden
DD,Nok Air,Thailand,46.0,0.0,0.0,2,3157.0,Don Muang Intl,Bangkok,Thailand
DE,Condor Flugdienst,Germany,34.0,160.0,140.0,30,340.0,Frankfurt Main,Frankfurt,Germany
DG,South East Asian Airlines,Philippines,16.0,6.0,0.0,4,2397.0,Ninoy Aquino Intl,Manila,Philippines
DH,Dennis Sky,Israel,13.0,0.0,0.0,7,1044.0,Senou,Bamako,Mali
DL,Delta Air Lines,United States,1063.0,463.0,453.0,77,3682.0,Hartsfield Jackson Atlanta Intl,Atlanta,United States
DN,Senegal Airlines,Senegal,26.0,4.0,2.0,13,1084.0,Leopold Sedar Senghor Intl,Dakar,Senegal
DT,TAAG Angola Airlines,Angola,47.0,8.0,16.0,13,951.0,Luanda 4 De Fevereiro,Luanda,Angola
DV,Scat Air,Kazakhstan,66.0,12.0,0.0,6,4367.0,Aktau,Aktau,Kazakhstan
DX,DAT Danish Air Transport,Denmark,16.0,0.0,0.0,2,608.0,Billund,Billund,Denmark
DY,Norwegian Air Shuttle,Norway,234.0,254.0,88.0,36,644.0,Gardermoen,Oslo,Norway
DZ,Starline.kz,Kazakhstan,4.0,0.0,0.0,1,3387.0,Lishe,Ninbo,China
E2,Kampuchea Airlines,Cambodia,12.0,0.0,0.0,5,1059.0,Freetown Lungi,Freetown,Sierra Leone
E5,Air Arabia Egypt,Egypt,4.0,6.0,0.0,4,3410.0,Borg El Arab Intl,Alexandria,Egypt
E7,Estafeta Carga Aerea,Mexico,4.0,0.0,0.0,2,886.0,Pointe Noire,Pointe-noire,Congo (Brazzaville)
E8,Alpi Eagles,Italy,2.0,4.0,0.0,2,3157.0,Don Muang Intl,Bangkok,Thailand
E9,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),0.0,0.0,4.0,3,1229.0,Barajas,Madrid,Spain
EF,Far Eastern Air Transport,Taiwan,8.0,0.0,0.0,1,3380.0,Chinggis Khaan Intl,Ulan Bator,Mongolia
EG,Japan Asia Airways,Japan,1.0,4.0,4.0,3,7563.0,Kulob Airport,Kulyab,Tajikistan
EI,Aer Lingus,Ireland,134.0,70.0,22.0,25,599.0,Dublin,Dublin,Ireland
EK,Emirates,United Arab Emirates,34.0,69.0,186.0,74,2188.0,Dubai Intl,Dubai,United Arab Emirates
EL,Air Nippon,Japan,2.0,4.0,0.0,3,1486.0,Makedonia,Thessaloniki,Greece
EN,Air Dolomiti,Italy,12.0,0.0,0.0,2,346.0,Franz Josef Strauss,Munich,Germany
EO,Express One International,United States,10.0,2.0,0.0,3,1128.0,Cairo Intl,Cairo,Egypt
EP,Iran Aseman Airlines,Iran,159.0,8.0,2.0,10,2131.0,Mehrabad Intl,Teheran,Iran
EQ,TAME,Ecuador,40.0,2.0,2.0,7,2688.0,Mariscal Sucre Intl,Quito,Ecuador
ET,Ethiopian Airlines,Ethiopia,210.0,39.0,84.0,76,1107.0,Bole Intl,Addis Ababa,Ethiopia
EU,Empresa Ecuatoriana De Aviacion,Ecuador,66.0,12.0,0.0,1,3395.0,Shuangliu,Chengdu,China
EW,Eurowings,Germany,1.0,0.0,0.0,2,342.0,Hamburg,Hamburg,Germany
EY,Etihad Airways,United Arab Emirates,57.0,57.0,114.0,61,2179.0,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates
F2,Fly Air,Turkey,14.0,0.0,0.0,2,1147.0,Nairobi Wilson,Nairobi,Kenya
F5,Cosmic Air,Nepal,5.0,0.0,0.0,1,951.0,Luanda 4 De Fevereiro,Luanda,Angola
F7,Flybaboo,Switzerland,38.0,0.0,0.0,7,1665.0,Geneve Cointrin,Geneva,Switzerland
F9,Frontier Airlines,United States,126.0,88.0,8.0,5,3751.0,Denver Intl,Denver,United States
FB,Bulgaria Air,Bulgaria,30.0,26.0,0.0,17,1194.0,Sofia,Sofia,Bulgaria
FD,Thai AirAsia,Thailand,60.0,32.0,0.0,11,3157.0,Don Muang Intl,Bangkok,Thailand
